benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,1.7866834931662768e-17,2.392772406616558e-34,1.7866834931662768e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.018749436330874218,0.003691539215947871,0.04011477849946389,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.03548064138046953,0.03519798002949124,0.15251053792291577,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,2.8387304529002607e-18,1.050172159889395e-34,8.57577883702006e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.11286331497814768,0.007203506052041345,0.11286331497814768,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.07732068721859274,0.0047338901058717135,0.07732068721859274,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,2.5509021009924712e-18,1.12539121695027e-34,7.208532513517713e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-0.04111557330630157,0.009906753498182593,0.06238370448825544,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,0.10771923555011108,0.016997263738626936,0.13565110104795702,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,8.572550270835621e-18,5.232452507165168e-34,1.992774913089679e-17,1.0
